FinanceID,Revenue,Expenses,Profit
1,345241,280483,64758
2,245874,203125,42749
3,272051,227944,44107
4,277528,191880,85648
5,339494,131742,207752
6,286995,75517,211478
7,96381,71992,24389
8,353939,287814,66125
9,295207,112649,182558
10,171167,32499,138668
11,195477,188786,6691
12,124659,116417,8242
13,305005,59027,245978
14,408954,391037,17917
15,351689,308655,43034
16,472729,387770,84959
17,320978,82160,238818
18,327538,91256,236282
19,81429,44296,37133
20,181028,131450,49578
21,380723,133038,247685
22,165837,125996,39841
23,371901,65377,306524
24,152010,131317,20693
25,314312,51705,262607
26,194136,44149,149987
27,163461,99707,63754
28,291576,44835,246741
29,75116,45110,30006
30,498713,367834,130879
31,470190,469033,1157
32,217490,60967,156523
33,318517,241172,77345
34,444670,320208,124462
35,329427,107519,221908
36,462456,309790,152666
37,465131,30151,434980
38,265516,197599,67917
39,436165,360485,75680
40,59514,45611,13903
41,152306,121053,31253
42,252788,120581,132207
43,418550,333872,84678
44,299753,106022,193731
45,172800,43609,129191
46,284438,198393,86045
47,472505,321109,151396
48,74699,67122,7577
49,257395,215192,42203
50,357390,99933,257457
51,201571,78875,122696
52,337408,313387,24021
53,426003,292242,133761
54,305181,160178,145003
55,60416,33727,26689
56,210320,207516,2804
57,395506,306357,89149
58,155100,113002,42098
59,140887,110623,30264
60,78006,77311,695
61,227358,78508,148850
62,373648,213240,160408
63,406660,298780,107880
64,221036,92353,128683
65,445615,145322,300293
66,256796,248973,7823
67,281844,43260,238584
68,97550,36841,60709
69,437960,141519,296441
70,446814,63518,383296
71,376296,366092,10204
72,54902,34009,20893
73,340447,287181,53266
74,443235,225502,217733
75,149934,60759,89175
76,333014,323865,9149
77,153106,57508,95598
78,405811,51914,353897
79,253383,218811,34572
80,466319,266780,199539
81,297167,32046,265121
82,284078,96161,187917
83,79718,40737,38981
84,87632,68220,19412
85,359432,268783,90649
86,313190,45661,267529
87,76163,60819,15344
88,208362,191424,16938
89,174244,82494,91750
90,105075,63961,41114
91,488490,281351,207139
92,332985,273400,59585
93,175416,102499,72917
94,203748,72404,131344
95,142179,63801,78378
96,206686,32272,174414
97,143505,122534,20971
98,279087,177456,101631
99,327538,191099,136439
100,50663,38700,11963
