InventoryID,ProductID,CurrentStock,ReorderLevel,StockStatus
1,1,232,29,In Stock
2,2,263,13,In Stock
3,3,109,8,In Stock
4,4,181,14,In Stock
5,5,258,12,In Stock
6,6,131,50,In Stock
7,7,74,9,In Stock
8,8,77,48,In Stock
9,9,30,48,Reorder
10,10,49,35,In Stock
11,11,269,30,In Stock
12,12,117,13,In Stock
13,13,90,28,In Stock
14,14,185,44,In Stock
15,15,147,42,In Stock
16,16,16,28,Reorder
17,17,105,34,In Stock
18,18,21,22,Reorder
19,19,117,34,In Stock
20,20,240,5,In Stock
21,21,117,35,In Stock
22,22,131,31,In Stock
23,23,75,43,In Stock
24,24,275,35,In Stock
25,25,262,23,In Stock
26,26,137,7,In Stock
27,27,74,20,In Stock
28,28,270,19,In Stock
29,29,187,43,In Stock
30,30,187,33,In Stock
31,31,259,16,In Stock
32,32,152,45,In Stock
33,33,255,16,In Stock
34,34,101,44,In Stock
35,35,299,46,In Stock
36,36,140,45,In Stock
37,37,171,21,In Stock
38,38,11,11,Reorder
39,39,149,33,In Stock
40,40,10,25,Reorder
41,41,183,6,In Stock
42,42,290,36,In Stock
43,43,205,50,In Stock
44,44,204,46,In Stock
45,45,281,14,In Stock
46,46,128,13,In Stock
47,47,209,30,In Stock
48,48,21,15,In Stock
49,49,298,26,In Stock
50,50,222,37,In Stock
51,51,256,13,In Stock
52,52,201,43,In Stock
53,53,280,45,In Stock
54,54,66,21,In Stock
55,55,249,31,In Stock
56,56,274,7,In Stock
57,57,71,29,In Stock
58,58,268,7,In Stock
59,59,257,38,In Stock
60,60,232,15,In Stock
61,61,298,31,In Stock
62,62,294,8,In Stock
63,63,211,49,In Stock
64,64,274,31,In Stock
65,65,213,31,In Stock
66,66,206,14,In Stock
67,67,28,33,Reorder
68,68,116,9,In Stock
69,69,47,9,In Stock
70,70,141,48,In Stock
71,71,167,32,In Stock
72,72,61,40,In Stock
73,73,206,47,In Stock
74,74,143,47,In Stock
75,75,115,18,In Stock
76,76,171,7,In Stock
77,77,113,5,In Stock
78,78,121,9,In Stock
79,79,84,12,In Stock
80,80,237,27,In Stock
81,81,45,42,In Stock
82,82,291,34,In Stock
83,83,180,47,In Stock
84,84,200,39,In Stock
85,85,167,31,In Stock
86,86,43,34,In Stock
87,87,227,32,In Stock
88,88,118,37,In Stock
89,89,289,48,In Stock
90,90,83,6,In Stock
91,91,56,30,In Stock
92,92,70,35,In Stock
93,93,256,39,In Stock
94,94,116,41,In Stock
95,95,222,40,In Stock
96,96,50,25,In Stock
97,97,276,8,In Stock
98,98,56,44,In Stock
99,99,167,9,In Stock
100,100,260,38,In Stock
