InventoryID,ProductID,CurrentStock,ReorderLevel,StockStatus,ProductName,Category,Price,Stock,InventoryValue
1,1,232,29,High Stock,Table,Books,36530,26,8474960
2,2,263,13,High Stock,Keyboard,Books,57842,55,15212446
3,3,109,8,High Stock,Jeans,Electronics,79247,68,8637923
4,4,181,14,High Stock,Speaker,Home Appliances,12604,146,2281324
5,5,258,12,High Stock,Jeans,Books,57920,112,14943360
6,6,131,50,High Stock,Table,Home Appliances,10114,133,1324934
7,7,74,9,High Stock,Jeans,Books,45927,165,3398598
8,8,77,48,High Stock,Speaker,Clothing,29453,184,2267881
9,9,30,48,Medium Stock,Jacket,Books,19196,90,575880
10,10,49,35,Medium Stock,Speaker,Books,60899,138,2984051
11,11,269,30,High Stock,Book,Furniture,61373,66,16509337
12,12,117,13,High Stock,Sofa,Clothing,48897,7,5720949
13,13,90,28,High Stock,Monitor,Books,27523,194,2477070
14,14,185,44,High Stock,Chair,Books,37879,172,7007615
15,15,147,42,High Stock,Jeans,Books,8084,34,1188348
16,16,16,28,Medium Stock,Monitor,Books,58614,53,937824
17,17,105,34,High Stock,Book,Clothing,41604,108,4368420
18,18,21,22,Medium Stock,Sofa,Furniture,60410,12,1268610
19,19,117,34,High Stock,Speaker,Furniture,43950,74,5142150
20,20,240,5,High Stock,Jeans,Books,48500,132,11640000
21,21,117,35,High Stock,Printer,Electronics,51546,20,6030882
22,22,131,31,High Stock,T-Shirt,Furniture,24924,147,3265044
23,23,75,43,High Stock,Camera,Home Appliances,69207,152,5190525
24,24,275,35,High Stock,Keyboard,Furniture,6162,129,1694550
25,25,262,23,High Stock,Keyboard,Electronics,33972,137,8900664
26,26,137,7,High Stock,Printer,Clothing,42938,95,5882506
27,27,74,20,High Stock,Laptop,Clothing,19563,90,1447662
28,28,270,19,High Stock,Tablet,Electronics,71713,42,19362510
29,29,187,43,High Stock,Mouse,Electronics,29825,98,5577275
30,30,187,33,High Stock,Jeans,Clothing,57647,184,10779989
31,31,259,16,High Stock,T-Shirt,Electronics,3563,196,922817
32,32,152,45,High Stock,Book,Clothing,10128,116,1539456
33,33,255,16,High Stock,Keyboard,Home Appliances,79758,114,20338290
34,34,101,44,High Stock,Monitor,Home Appliances,58081,176,5866181
35,35,299,46,High Stock,Jacket,Furniture,67459,198,20170241
36,36,140,45,High Stock,Monitor,Furniture,14917,40,2088380
37,37,171,21,High Stock,Laptop,Furniture,55197,107,9438687
38,38,11,11,Medium Stock,Table,Books,74101,121,815111
39,39,149,33,High Stock,Jacket,Furniture,8432,67,1256368
40,40,10,25,Low Stock,Chair,Books,37090,105,370900
41,41,183,6,High Stock,Jeans,Electronics,68474,138,12530742
42,42,290,36,High Stock,Tablet,Clothing,60096,173,17427840
43,43,205,50,High Stock,Jeans,Electronics,8295,65,1700475
44,44,204,46,High Stock,Laptop,Clothing,75321,195,15365484
45,45,281,14,High Stock,Book,Electronics,59440,186,16702640
46,46,128,13,High Stock,Monitor,Clothing,66191,16,8472448
47,47,209,30,High Stock,Book,Clothing,13389,189,2798301
48,48,21,15,Medium Stock,Sofa,Furniture,34932,197,733572
49,49,298,26,High Stock,Chair,Books,60180,89,17933640
50,50,222,37,High Stock,Monitor,Clothing,19287,139,4281714
51,51,256,13,High Stock,Camera,Home Appliances,25283,65,6472448
52,52,201,43,High Stock,Camera,Books,79264,107,15932064
53,53,280,45,High Stock,Speaker,Electronics,68237,60,19106360
