ProductID,ProductName,Category,Price,Stock
1,Table,Books,36530,26
2,Keyboard,Books,57842,55
3,Jeans,Electronics,79247,68
4,Speaker,Home Appliances,12604,146
5,Jeans,Books,57920,112
6,Table,Home Appliances,10114,133
7,Jeans,Books,45927,165
8,Speaker,Clothing,29453,184
9,Jacket,Books,19196,90
10,Speaker,Books,60899,138
11,Book,Furniture,61373,66
12,Sofa,Clothing,48897,7
13,Monitor,Books,27523,194
14,Chair,Books,37879,172
15,Jeans,Books,8084,34
16,Monitor,Books,58614,53
17,Book,Clothing,41604,108
18,Sofa,Furniture,60410,12
19,Speaker,Furniture,43950,74
20,Jeans,Books,48500,132
21,Printer,Electronics,51546,20
22,T-Shirt,Furniture,24924,147
23,Camera,Home Appliances,69207,152
24,Keyboard,Furniture,6162,129
25,Keyboard,Electronics,33972,137
26,Printer,Clothing,42938,95
27,Laptop,Clothing,19563,90
28,Tablet,Electronics,71713,42
29,Mouse,Electronics,29825,98
30,Jeans,Clothing,57647,184
31,T-Shirt,Electronics,3563,196
32,Book,Clothing,10128,116
33,Keyboard,Home Appliances,79758,114
34,Monitor,Home Appliances,58081,176
35,Jacket,Furniture,67459,198
36,Monitor,Furniture,14917,40
37,Laptop,Furniture,55197,107
38,Table,Books,74101,121
39,Jacket,Furniture,8432,67
40,Chair,Books,37090,105
41,Jeans,Electronics,68474,138
42,Tablet,Clothing,60096,173
43,Jeans,Electronics,8295,65
44,Laptop,Clothing,75321,195
45,Book,Electronics,59440,186
46,Monitor,Clothing,66191,16
47,Book,Clothing,13389,189
48,Sofa,Furniture,34932,197
49,Chair,Books,60180,89
50,Monitor,Clothing,19287,139
51,Camera,Home Appliances,25283,65
52,Camera,Books,79264,107
53,Speaker,Electronics,68237,60
54,T-Shirt,Home Appliances,73732,166
55,Sofa,Clothing,78877,26
56,Monitor,Home Appliances,56973,64
57,Table,Furniture,56775,198
58,Printer,Furniture,64101,113
59,Jacket,Home Appliances,53057,147
60,Printer,Furniture,39915,46
61,T-Shirt,Home Appliances,5215,133
62,Table,Books,1999,12
63,Keyboard,Electronics,8578,139
64,Jeans,Clothing,39890,20
65,Jeans,Furniture,45697,59
66,Book,Electronics,49255,174
67,Monitor,Home Appliances,64647,101
68,Monitor,Electronics,44439,78
69,Table,Electronics,73068,29
70,Mouse,Clothing,33758,88
71,Keyboard,Electronics,41850,67
72,Table,Books,18412,115
73,Jeans,Electronics,3100,66
74,Mouse,Home Appliances,75287,126
75,Monitor,Furniture,7351,63
76,Laptop,Home Appliances,43656,154
77,Jacket,Books,859,74
78,Camera,Electronics,50231,139
79,Jeans,Home Appliances,23199,161
80,Mouse,Furniture,15170,166
81,Camera,Furniture,78206,116
82,Mouse,Furniture,14023,50
83,Mouse,Clothing,35625,88
84,Sofa,Clothing,44422,83
85,T-Shirt,Books,18665,170
86,Monitor,Clothing,44170,58
87,Tablet,Home Appliances,70350,92
88,Tablet,Electronics,47641,45
89,Speaker,Books,14887,137
90,Camera,Home Appliances,72707,97
91,Sofa,Home Appliances,15905,120
92,Mouse,Books,7877,129
93,Sofa,Clothing,78935,135
94,Laptop,Books,58434,55
95,Chair,Home Appliances,73675,181
96,Jacket,Home Appliances,42429,116
97,Table,Clothing,48469,43
98,Mouse,Electronics,51387,171
99,Laptop,Clothing,52507,105
100,Table,Furniture,7835,40
