ds,yhat,yhat_lower,yhat_upper
2026-01-04,199993.0281781248,15258.105131574088,391401.1022784519
2026-01-05,57628.514217104545,-135515.34812392003,225039.5644328121
2026-01-09,185117.7340724353,-8295.050048118783,364130.8942878448
2026-01-13,171564.41569150047,-4441.637317369569,340664.0547707105
2026-01-16,186355.51628643842,7222.204113845495,363929.1971073871
2026-01-17,120857.87138889724,-63055.29896166716,289596.701779565
2026-01-22,144791.87384928358,-26947.792133241375,319486.2492888413
2026-01-23,187593.29850007623,9272.899188984946,372961.29522117047
2026-01-27,174039.98011952423,-10438.346529153458,351883.00999174913
2026-02-06,190068.86292851216,2798.0784189127407,365198.2311628436
2026-02-07,124571.21803086666,-70084.48867501915,306216.86040557094
2026-02-11,181967.4648821504,7832.510861876328,361992.1649007161
2026-02-13,191306.64514314051,12836.98311560773,372889.4914332851
2026-02-17,177753.32676313724,-18286.38273454089,358697.55826135416
2026-02-18,183205.2470972051,-3076.8698163293225,356044.0863635174
2026-02-19,149743.00270762073,-36705.8568251615,320181.72358591756
2026-02-25,184443.02931271057,-5978.367267544414,358773.3699269177
2026-02-26,150980.78492261795,-21188.898436166422,326639.4537866056
2026-03-03,180228.89119414327,2769.0016886774447,352199.46026312205
2026-03-04,185680.81152854703,20738.589768419544,375437.37526069063
2026-03-07,129522.34689221095,-56549.56175833288,309682.1006587978
2026-03-11,186918.5937435715,6245.207305596164,360165.39431214123
2026-03-15,212370.85032500813,40196.516327241334,389846.0881342537
2026-03-16,70006.33636418117,-102253.82646803051,244754.26687163662
2026-03-18,188156.37595877863,1312.7796144546073,388849.9476326814
2026-03-19,154694.13156889452,-21997.367570515926,343298.73727051617
2026-03-21,131997.9113221386,-45555.084003644886,298398.7031215955
2026-03-22,213608.63254006064,38837.547754066254,383177.2053683432
2026-03-23,71244.11857909533,-105453.28349421607,254065.0293186233
2026-03-24,183942.23783940214,6124.223537269067,369754.8547596876
2026-03-26,155931.91378390332,-20781.174099687898,334376.73606215115
2026-03-28,133235.69353773113,-44385.154337505555,309293.12574633374
2026-04-10,201208.9028670207,30145.1839152895,384170.07222412317
2026-04-11,135711.2579694337,-41809.98934619254,300941.1156922974
2026-04-16,159645.2604315557,-30248.749152952747,340100.45464692556
2026-04-21,188893.3667024212,-3672.889925641966,365552.07330170734
2026-04-26,219797.54361874593,43508.23620072592,400178.47664929053
2026-05-03,221035.32583436684,37017.86282043474,379867.0954675072
2026-05-06,196820.85146788883,39878.298050305086,376316.4088612088
2026-05-08,206160.03172923205,18630.47982869204,364753.12018710625
2026-05-10,222273.1080494036,37277.11397259056,390131.9422982398
2026-05-12,192606.713349051,12261.984960017051,374199.55460192583
2026-05-21,165834.17150923482,-8464.136902023447,349883.3994991435
2026-05-24,224748.6724809964,38167.67597571518,417681.29203404975
2026-05-26,195082.2777809335,25005.439133590764,367658.50836752116
2026-05-28,167071.95372515218,-8853.585677439256,349805.3799889215
2026-06-02,196320.05999639252,20562.61282871181,369579.79033369187
2026-06-09,197557.8422113842,12236.754526796269,374226.5988468894
2026-06-11,169547.51815594756,-8137.216146531225,345192.92453122564
2026-06-12,212348.94280681649,30101.903200597106,399848.1528833249
2026-06-13,146851.2979096155,-34628.37328330601,325200.11618299346
2026-06-15,86097.50516643107,-95616.62367762017,267917.0297557147
2026-06-16,198795.6244266388,19394.94384821121,367214.5406811959
2026-06-19,213586.72502169092,35066.59575189485,391826.4634853727
2026-06-20,148089.08012404214,-36023.408244701895,316832.98327679926
2026-06-24,205485.32697537122,15638.121127818718,379986.086893099
2026-06-27,149326.86233824145,-21579.24920495129,349404.0065789608
2026-06-28,230937.5835559641,55827.38709110811,418409.2634722972
2026-07-01,206723.1091891714,6642.670748166577,380738.7002144257
2026-07-04,150564.64455205319,-43620.20546032251,320300.95562506653
2026-07-05,232175.36576979686,48377.07009829552,405014.1193897767
2026-07-08,207960.89140264216,36022.22457600448,383116.76765664597
2026-07-11,151802.42676565092,-30312.201903844805,330729.5372014991
2026-07-12,233413.14798333455,55987.08893826789,415908.8178484662
2026-07-14,203746.75328216175,18739.179307924067,377590.2749473916
2026-07-15,209198.6736161944,19647.099949748568,376248.3401589967
2026-07-17,218537.85387700915,37912.096251177005,399478.41049840185
2026-07-18,153040.20897895485,-30113.69149229477,326630.9752149248
2026-07-21,204984.53549545945,32411.23823037502,387818.50098539464
2026-07-22,210436.45582958907,25846.803872840588,385764.9929111661
2026-07-26,235888.71240993295,61776.16742716686,418414.38447773806
2026-07-28,206222.31770875727,8370.603152951746,359678.76405246335
2026-08-05,212912.02025604018,33288.55099432827,385183.94974065624
2026-08-10,95999.76287550312,-90610.63950852206,270936.57156223606
2026-08-15,157991.3378324511,-30529.624620380768,337043.28181366477
2026-08-18,209935.6643487339,21551.036435900565,381582.87064939534
2026-08-19,215387.584682888,36470.19571478586,388008.753027265
2026-08-24,98475.32730224286,-91465.68798255234,272754.3577886821
2026-08-27,183163.1225059216,11946.402349373739,357771.96433574904
2026-08-28,225964.54715680188,47397.996832640216,418070.4601967337
2026-08-29,160466.90225901737,-13748.479768016963,328678.1350997151
2026-08-30,242077.62347676762,70376.71445059586,435449.4651417574
2026-08-31,99713.10951540714,-74455.40946296699,274764.2847130708
2026-09-01,212411.22877566368,41785.826932790325,394991.7375560212
2026-09-02,217863.14910933914,33794.03275347062,417178.21868335985
2026-09-03,184400.90471928404,-8035.679767058414,358060.57433265314
